Order No,Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating,Month
111,787-87-2010,A,Yangon,Member,Male,Health and beauty,55.5,4,11.1,233.1,2019-01-20,15:48,Credit card,222.0,4.761904762,11.1,Average,January
112,886-54-6089,A,Yangon,Normal,Female,Home and lifestyle,11.43,6,3.429,72.009,2019-01-15,17:24,Cash,68.58,4.761904762,3.429,Good,January
113,534-53-3526,A,Yangon,Normal,Female,Sports and travel,94.76,4,18.952,397.992,2019-02-11,16:06,Ewallet,379.04,4.761904762,18.952,Good,February
114,307-04-2070,A,Yangon,Member,Female,Fashion accessories,30.62,1,1.531,32.151,2019-02-05,14:14,Credit card,30.62,4.761904762,1.531,Bad,February
115,404-91-5964,A,Yangon,Normal,Male,Electronic accessories,74.58,7,26.103,548.163,2019-02-04,16:09,Credit card,522.06,4.761904762,26.103,Good,February
116,788-21-5741,A,Yangon,Normal,Male,Fashion accessories,45.38,3,6.807,142.947,2019-02-17,13:34,Credit card,136.14,4.761904762,6.807,Good,February
117,482-17-1179,A,Yangon,Member,Male,Electronic accessories,11.94,3,1.791,37.611,2019-01-19,12:47,Credit card,35.82,4.761904762,1.791,Good,January
118,857-16-3520,A,Yangon,Member,Female,Fashion accessories,71.46,7,25.011,525.231,2019-03-28,16:06,Ewallet,500.22,4.761904762,25.011,Bad,March
119,258-92-7466,A,Yangon,Normal,Female,Health and beauty,35.68,5,8.92,187.32,2019-02-06,18:33,Credit card,178.4,4.761904762,8.92,Average,February
120,706-36-6154,A,Yangon,Member,Male,Home and lifestyle,19.36,9,8.712,182.952,2019-01-18,18:43,Ewallet,174.24,4.761904762,8.712,Good,January
121,742-04-5161,A,Yangon,Member,Male,Home and lifestyle,72.78,10,36.39,764.19,2019-02-03,17:24,Cash,727.8,4.761904762,36.39,Good,February
122,169-52-4504,A,Yangon,Normal,Female,Electronic accessories,15.69,3,2.3535,49.4235,2019-03-14,14:13,Credit card,47.07,4.761904762,2.3535,Average,March
123,562-12-5430,A,Yangon,Member,Female,Fashion accessories,88.15,3,13.2225,277.6725,2019-01-18,10:11,Ewallet,264.45,4.761904762,13.2225,Good,January
124,816-72-8853,A,Yangon,Member,Female,Sports and travel,27.93,5,6.9825,146.6325,2019-01-29,15:48,Cash,139.65,4.761904762,6.9825,Average,January
125,491-38-3499,A,Yangon,Member,Male,Fashion accessories,55.45,1,2.7725,58.2225,2019-02-26,17:46,Credit card,55.45,4.761904762,2.7725,Bad,February
126,518-17-2983,A,Yangon,Normal,Female,Fashion accessories,48.63,4,9.726,204.246,2019-02-04,15:44,Ewallet,194.52,4.761904762,9.726,Good,February
127,588-47-8641,A,Yangon,Member,Male,Fashion accessories,56.04,10,28.02,588.42,2019-01-14,19:30,Ewallet,560.4,4.761904762,28.02,Bad,January
128,811-03-8790,A,Yangon,Normal,Female,Electronic accessories,45.48,10,22.74,477.54,2019-03-01,10:22,Credit card,454.8,4.761904762,22.74,Bad,March
129,497-37-6538,A,Yangon,Normal,Male,Sports and travel,58.91,7,20.6185,432.9885,2019-01-17,15:15,Ewallet,412.37,4.761904762,20.6185,Good,January
130,274-05-5470,A,Yangon,Member,Female,Food and beverages,73.47,4,14.694,308.574,2019-02-23,18:30,Cash,293.88,4.761904762,14.694,Average,February
131,105-10-6182,A,Yangon,Member,Male,Fashion accessories,21.48,2,2.148,45.108,2019-02-27,12:22,Ewallet,42.96,4.761904762,2.148,Average,February
132,648-83-1321,A,Yangon,Member,Male,Home and lifestyle,63.56,10,31.78,667.38,2019-01-16,17:59,Cash,635.6,4.761904762,31.78,Bad,January
133,305-03-2383,A,Yangon,Normal,Female,Food and beverages,67.1,3,10.065,211.365,2019-02-15,10:36,Cash,201.3,4.761904762,10.065,Good,February
134,689-05-1884,A,Yangon,Member,Male,Health and beauty,48.63,10,24.315,510.615,2019-03-04,12:44,Cash,486.3,4.761904762,24.315,Good,March
135,800-09-8606,A,Yangon,Member,Female,Home and lifestyle,87.37,5,21.8425,458.6925,2019-01-29,19:45,Cash,436.85,4.761904762,21.8425,Average,January
136,182-52-7000,A,Yangon,Member,Female,Sports and travel,27.04,4,5.408,113.568,2019-01-01,20:26,Ewallet,108.16,4.761904762,5.408,Average,January
137,868-06-0466,A,Yangon,Member,Male,Electronic accessories,69.58,9,31.311,657.531,2019-02-19,19:38,Credit card,626.22,4.761904762,31.311,Good,February
138,445-30-9252,A,Yangon,Normal,Male,Sports and travel,25.7,3,3.855,80.955,2019-01-17,17:59,Ewallet,77.1,4.761904762,3.855,Average,January
139,786-94-2700,A,Yangon,Member,Male,Food and beverages,80.62,6,24.186,507.906,2019-02-28,20:18,Cash,483.72,4.761904762,24.186,Good,February
140,130-67-4723,A,Yangon,Member,Male,Food and beverages,48.5,6,14.55,305.55,2019-01-11,13:57,Ewallet,291.0,4.761904762,14.55,Good,January
141,651-96-5970,A,Yangon,Normal,Male,Fashion accessories,46.41,1,2.3205,48.7305,2019-03-03,20:06,Credit card,46.41,4.761904762,2.3205,Bad,March
142,263-12-5321,A,Yangon,Member,Male,Electronic accessories,92.6,7,32.41,680.61,2019-02-27,12:52,Credit card,648.2,4.761904762,32.41,Good,February
143,702-72-0487,A,Yangon,Normal,Female,Electronic accessories,46.61,2,4.661,97.881,2019-02-26,12:28,Credit card,93.22,4.761904762,4.661,Average,February
144,843-73-4724,A,Yangon,Normal,Male,Fashion accessories,74.1,1,3.705,77.805,2019-01-25,11:05,Cash,74.1,4.761904762,3.705,Good,January
145,409-33-9708,A,Yangon,Normal,Female,Fashion accessories,98.48,2,9.848,206.808,2019-02-19,10:12,Ewallet,196.96,4.761904762,9.848,Good,February
146,160-22-2687,A,Yangon,Member,Female,Health and beauty,95.95,5,23.9875,503.7375,2019-01-23,14:21,Ewallet,479.75,4.761904762,23.9875,Good,January
147,748-45-2862,A,Yangon,Member,Female,Home and lifestyle,28.31,4,5.662,118.902,2019-03-07,18:35,Cash,113.24,4.761904762,5.662,Good,March
148,316-66-3011,A,Yangon,Member,Female,Food and beverages,47.63,9,21.4335,450.1035,2019-01-23,12:35,Cash,428.67,4.761904762,21.4335,Bad,January
149,840-76-5966,A,Yangon,Member,Male,Sports and travel,12.76,2,1.276,26.796,2019-01-08,18:06,Ewallet,25.52,4.761904762,1.276,Good,January
150,124-31-1458,A,Yangon,Member,Female,Electronic accessories,79.59,3,11.9385,250.7085,2019-01-08,14:30,Cash,238.77,4.761904762,11.9385,Average,January
151,852-82-2749,A,Yangon,Normal,Male,Sports and travel,64.59,4,12.918,271.278,2019-01-06,13:35,Ewallet,258.36,4.761904762,12.918,Good,January
152,873-14-6353,A,Yangon,Member,Male,Food and beverages,24.82,7,8.687,182.427,2019-02-16,10:33,Credit card,173.74,4.761904762,8.687,Good,February
153,125-45-2293,A,Yangon,Normal,Female,Fashion accessories,99.1,6,29.73,624.33,2019-01-19,13:11,Cash,594.6,4.761904762,29.73,Bad,January
154,166-19-2553,A,Yangon,Member,Male,Sports and travel,89.06,6,26.718,561.078,2019-01-18,17:26,Cash,534.36,4.761904762,26.718,Good,January
155,448-61-3783,A,Yangon,Normal,Female,Electronic accessories,90.02,8,36.008,756.168,2019-03-21,16:08,Credit card,720.16,4.761904762,36.008,Bad,March
156,291-55-6563,A,Yangon,Member,Female,Home and lifestyle,34.42,6,10.326,216.846,2019-03-30,12:45,Ewallet,206.52,4.761904762,10.326,Good,March
157,548-48-3156,A,Yangon,Member,Female,Food and beverages,83.34,2,8.334,175.014,2019-03-19,13:37,Cash,166.68,4.761904762,8.334,Good,March
158,460-93-5834,A,Yangon,Normal,Male,Sports and travel,45.58,7,15.953,335.013,2019-01-13,10:03,Cash,319.06,4.761904762,15.953,Bad,January
159,325-89-4209,A,Yangon,Member,Male,Food and beverages,87.9,1,4.395,92.295,2019-02-05,19:42,Ewallet,87.9,4.761904762,4.395,Average,February
160,884-80-6021,A,Yangon,Member,Female,Electronic accessories,73.47,10,36.735,771.435,2019-03-23,13:14,Ewallet,734.7,4.761904762,36.735,Good,March
161,880-46-5796,A,Yangon,Member,Male,Sports and travel,76.92,10,38.46,807.66,2019-03-17,19:53,Ewallet,769.2,4.761904762,38.46,Average,March
162,146-09-5432,A,Yangon,Member,Male,Food and beverages,35.04,9,15.768,331.128,2019-02-09,19:17,Ewallet,315.36,4.761904762,15.768,Bad,February
163,595-94-9924,A,Yangon,Member,Female,Health and beauty,27.73,5,6.9325,145.5825,2019-03-26,20:21,Credit card,138.65,4.761904762,6.9325,Bad,March
164,737-88-5876,A,Yangon,Member,Male,Home and lifestyle,23.29,4,4.658,97.818,2019-03-19,11:52,Credit card,93.16,4.761904762,4.658,Average,March
165,186-71-5196,A,Yangon,Member,Female,Food and beverages,79.54,2,7.954,167.034,2019-03-27,16:30,Ewallet,159.08,4.761904762,7.954,Average,March
166,585-90-0249,A,Yangon,Member,Male,Electronic accessories,73.26,1,3.663,76.923,2019-01-27,18:08,Ewallet,73.26,4.761904762,3.663,Good,January
167,896-34-0956,A,Yangon,Normal,Male,Fashion accessories,21.32,1,1.066,22.386,2019-01-26,12:43,Cash,21.32,4.761904762,1.066,Average,January
168,864-24-7918,A,Yangon,Member,Female,Sports and travel,24.49,10,12.245,257.145,2019-02-22,15:15,Cash,244.9,4.761904762,12.245,Good,February
169,759-29-9521,A,Yangon,Member,Female,Fashion accessories,48.96,9,22.032,462.672,2019-03-04,11:27,Cash,440.64,4.761904762,22.032,Good,March
170,220-68-6701,A,Yangon,Normal,Female,Home and lifestyle,77.47,4,15.494,325.374,2019-03-17,16:36,Cash,309.88,4.761904762,15.494,Bad,March
171,618-34-8551,A,Yangon,Normal,Female,Sports and travel,93.18,2,9.318,195.678,2019-01-16,18:41,Credit card,186.36,4.761904762,9.318,Good,January
172,257-60-7754,A,Yangon,Normal,Female,Electronic accessories,50.23,4,10.046,210.966,2019-01-08,17:12,Cash,200.92,4.761904762,10.046,Good,January
